"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
1,2020,110.69659380064,0.375,10,2,1,3,2,0.874702574988083,0,0,0,0.948382238668974,0,0,0,0.618906396184263,0,0.125165558904769,0,353.650543804382,574.625537880668,26
1,2021,95.5821712609931,0.5,10,2,1,3,2,0.874702574988083,0,0,0,0.948382238668974,0,0,0,0.618906396184263,0,0.125165558904769,0,353.650543804382,574.625537880668,27
2,2016,24.5057537307619,0.285714285714286,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,23
2,2017,41.1765157251624,0.333333333333333,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,41
2,2020,51.9635736383486,0.428571428571429,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,78
2,2021,75.9010203385298,0.428571428571429,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,54
3,2016,79.6001879391668,0.35,0,1,2,8,3,0,0,0,1,0,0.0320345720655239,0,0.967965427934476,0,0.0712890607884229,0,0.928710939211577,2892.98878288091,0,27
4,2016,46.9535818747117,0.32,0,2,2,5,3,0,0,0.171076611628616,0.828923388371384,0,0,0.423080283232403,0.576919716767597,0,0.0233884037174876,0.5085837540999,0.436601116034381,62.3935808915135,0,26
4,2017,59.7688580492008,0.36,0,2,2,5,3,0,0,0.171076611628616,0.828923388371384,0,0,0.423080283232403,0.576919716767597,0,0.0233884037174876,0.5085837540999,0.436601116034381,62.3935808915135,0,33
5,2018,250.833774449714,0.37037037037037,170,1,1,5,3,0,0,0.338932001179465,0.55759448726066,0,0,0.187909919044507,0.609623198537899,0,0,0.148318279502805,0.612154718241416,15.3348900935932,0,8
5,2020,302.135899873461,0.357142857142857,170,1,1,5,3,0,0,0.338932001179465,0.55759448726066,0,0,0.187909919044507,0.609623198537899,0,0,0.148318279502805,0.612154718241416,15.3348900935932,0,5
6,2016,97.8137334741786,0.321428571428571,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,0,180.546934300318,64
6,2017,124.683763335677,0.357142857142857,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,0,180.546934300318,54
7,2018,60.0662609405263,0.275862068965517,NA,2,NA,4,4,0,0,0.307584351561433,0.590930565252445,0,0,0.212986537552851,0.465957102178718,0.0088357229357727,0,0.231398695573864,0.403849045189663,14.024451919163,0,30
8,2016,48.3745606997954,0.321428571428571,100,2,1,5,3,0,0,0.0759285260125219,0.924071473987478,0,0,0.145833700492288,0.854166299507712,0,0,0.0698825408844103,0.93011745911559,58.0002218956464,0,12
8,2017,128.562123714339,0.285714285714286,100,2,1,5,3,0,0,0.0759285260125219,0.924071473987478,0,0,0.145833700492288,0.854166299507712,0,0,0.0698825408844103,0.93011745911559,58.0002218956464,0,10
8,2019,251.604652933881,0.428571428571429,100,2,1,5,3,0,0,0.0759285260125219,0.924071473987478,0,0,0.145833700492288,0.854166299507712,0,0,0.0698825408844103,0.93011745911559,58.0002218956464,0,14
8,2020,125.454732207887,0.321428571428571,100,2,1,5,3,0,0,0.0759285260125219,0.924071473987478,0,0,0.145833700492288,0.854166299507712,0,0,0.0698825408844103,0.93011745911559,58.0002218956464,0,18
8,2021,67.2780079200211,0.285714285714286,100,2,1,5,3,0,0,0.0759285260125219,0.924071473987478,0,0,0.145833700492288,0.854166299507712,0,0,0.0698825408844103,0.93011745911559,58.0002218956464,0,21
9,2017,82.0520883740446,0.392857142857143,10,2,1,5,2,0,0,0.584204822582863,0.415795177417137,0.0226610564014485,0,0.417374874473934,0.559964069124617,0.00783251590738645,0.0577050135667448,0.453315439679148,0.481147030846721,0,18.1127362213482,19
9,2018,134.813895294254,0.464285714285714,10,2,1,5,2,0,0,0.584204822582863,0.415795177417137,0.0226610564014485,0,0.417374874473934,0.559964069124617,0.00783251590738645,0.0577050135667448,0.453315439679148,0.481147030846721,0,18.1127362213482,15
10,2017,56.2584279810914,0.310344827586207,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,174.533359373341,0,46
10,2018,61.4701557706196,0.379310344827586,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,174.533359373341,0,43
10,2019,65.1770827462048,0.413793103448276,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,174.533359373341,0,72
10,2020,67.4526595148221,0.379310344827586,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,174.533359373341,0,92
10,2021,102.676641922766,0.379310344827586,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,174.533359373341,0,73
11,2021,122.341739749481,0.172413793103448,0,2,2,5,2,0.92962588842346,0,0,0.0703741115765403,0.903442093259056,0,0,0.0965579067409436,0.786888504529464,0,0.0251799664319105,0.187931529038626,299.23625981214,66.6038516342176,5
12,2016,29.1368026829247,0.172413793103448,300,2,1,4,2,0.997959308687555,0,0,0.0020406913124454,0.889316472564879,0,0.0147759375318133,0.0959075899033079,0.967822867330447,0,0.00742125817504033,0.024755874494513,209.431869048477,93.0161771725267,29
13,2020,149.710420143055,0.2,0,2,2,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1117.5704017196,511.880379037549,41
14,2018,171.374105774795,0.384615384615385,0,1,2,7,4,1,0,0,0,0.799741739911283,0.0209758596624052,0.146245504843562,0.0330368955827494,0.539931752084582,0.106833693295616,0.209527388787053,0.143707165832748,100.464632596396,202.181711484828,70
15,2020,72.7440493977686,0.266666666666667,5,1,1,5,4,1,0,0,0,0.874564511205519,0,0.102313521499211,0.0231219672952696,0.60177665126563,0.0000642983088868043,0.330425217387688,0.0677338330377946,121.1979509671,189.445260492627,53
15,2021,97.0524934143925,0.233333333333333,5,1,1,5,4,1,0,0,0,0.874564511205519,0,0.102313521499211,0.0231219672952696,0.60177665126563,0.0000642983088868043,0.330425217387688,0.0677338330377946,121.1979509671,189.445260492627,47
16,2016,85.4138398316468,0.290322580645161,150,1,1,5,3,0,0.814360066692965,0.185639933307035,0,0,0.8407675788649,0.159232421135101,0,0,0.931582111404134,0.0684178885958656,0,8.50019241689216,609.572334682224,15
16,2017,128.222453732512,0.290322580645161,150,1,1,5,3,0,0.814360066692965,0.185639933307035,0,0,0.8407675788649,0.159232421135101,0,0,0.931582111404134,0.0684178885958656,0,8.50019241689216,609.572334682224,16
16,2018,129.952488522425,0.290322580645161,150,1,1,5,3,0,0.814360066692965,0.185639933307035,0,0,0.8407675788649,0.159232421135101,0,0,0.931582111404134,0.0684178885958656,0,8.50019241689216,609.572334682224,15
16,2019,136.715182177461,0.387096774193548,150,1,1,5,3,0,0.814360066692965,0.185639933307035,0,0,0.8407675788649,0.159232421135101,0,0,0.931582111404134,0.0684178885958656,0,8.50019241689216,609.572334682224,15
16,2020,132.130041322082,0.258064516129032,150,1,1,5,3,0,0.814360066692965,0.185639933307035,0,0,0.8407675788649,0.159232421135101,0,0,0.931582111404134,0.0684178885958656,0,8.50019241689216,609.572334682224,26
17,2016,81.379894693294,0.290322580645161,0,1,2,1,3,0.288185300662175,0.0030531383519706,0.261404472734875,0.44735708825098,0.298268895851596,0.157437920912353,0.181964507406934,0.296992464659975,0.198229230661108,0.169191823202598,0.164828199641794,0.22223157993681,6.13145668582849,9.06886579511596,25
18,2016,169.539689226583,0.290322580645161,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,89
18,2017,130.060095747181,0.32258064516129,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,104
18,2018,303.601150685867,0.419354838709677,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,113
18,2019,342.747462556985,0.354838709677419,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,141
18,2020,114.899106349317,0.290322580645161,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,117
18,2021,167.172714650043,0.354838709677419,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,268.471901865492,276.231835577406,118
19,2016,428.11661493164,0.290322580645161,NA,1,NA,5,4,0,0,0,1,0,0.0575053206825959,0.0511396248637006,0.891355054453704,0,0.178178670783808,0.0458696826965677,0.775951646519624,115.67871271043,0,12
19,2017,1218.2943008785,0.366666666666667,NA,1,NA,5,4,0,0,0,1,0,0.0575053206825959,0.0511396248637006,0.891355054453704,0,0.178178670783808,0.0458696826965677,0.775951646519624,115.67871271043,0,16
19,2020,824.275488258737,0.366666666666667,NA,1,NA,5,4,0,0,0,1,0,0.0575053206825959,0.0511396248637006,0.891355054453704,0,0.178178670783808,0.0458696826965677,0.775951646519624,115.67871271043,0,24
19,2021,648.472071011373,0.333333333333333,NA,1,NA,5,4,0,0,0,1,0,0.0575053206825959,0.0511396248637006,0.891355054453704,0,0.178178670783808,0.0458696826965677,0.775951646519624,115.67871271043,0,10
20,2020,45.3393513591102,0.193548387096774,NA,NA,NA,NA,NA,1,0,0,0,0.994812997584569,0.00518700241543087,0,0,0.62774250079156,0.191030172488421,0,0.027670764365131,615.211681962285,332.097902106649,52
20,2021,40.860778584787,0.225806451612903,NA,NA,NA,NA,NA,1,0,0,0,0.994812997584569,0.00518700241543087,0,0,0.62774250079156,0.191030172488421,0,0.027670764365131,615.211681962285,332.097902106649,27
21,2019,300.988379281601,0.241379310344828,0,2,2,5,1,0.954333593128527,0,0,0.0456664068714727,0.872804916471456,0,0,0.127195083528544,0.780535255505641,0.0392852525456214,0,0.144414069475829,1280.99495600062,61.903580056354,115
21,2020,337.587921417675,0.275862068965517,0,2,2,5,1,0.954333593128527,0,0,0.0456664068714727,0.872804916471456,0,0,0.127195083528544,0.780535255505641,0.0392852525456214,0,0.144414069475829,1280.99495600062,61.903580056354,104
