"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
1,2016,24.6636486991581,0.285714285714286,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,23
1,2017,40.6133713102403,0.333333333333333,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,41
1,2020,53.1537448565667,0.428571428571429,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,78
1,2021,76.4047871362693,0.428571428571429,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,56.3056676799296,0,54
2,2016,47.1810099311425,0.32,0,2,2,5,3,0,0,0.171076611628616,0.828923388371384,0,0,0.423080283232403,0.576919716767597,0,0.0233884037174876,0.5085837540999,0.436601116034381,62.3935808915135,0,26
2,2017,63.4950386278819,0.36,0,2,2,5,3,0,0,0.171076611628616,0.828923388371384,0,0,0.423080283232403,0.576919716767597,0,0.0233884037174876,0.5085837540999,0.436601116034381,62.3935808915135,0,33
3,2018,261.657038536434,0.37037037037037,170,1,1,5,3,0,0,0.338932001179465,0.55759448726066,0,0,0.187909919044507,0.609623198537899,0,0,0.148318279502805,0.612154718241416,15.3348900935932,0,8
3,2020,317.517890921872,0.357142857142857,170,1,1,5,3,0,0,0.338932001179465,0.55759448726066,0,0,0.187909919044507,0.609623198537899,0,0,0.148318279502805,0.612154718241416,15.3348900935932,0,5
4,2016,100.309848034245,0.321428571428571,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,0,180.546934300318,64
4,2017,125.594245257551,0.357142857142857,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,0,180.546934300318,54
5,2020,72.6002725419638,0.266666666666667,5,1,1,5,4,1,0,0,0,0.874564511205519,0,0.102313521499211,0.0231219672952696,0.60177665126563,0.0000642983088868043,0.330425217387688,0.0677338330377946,121.1979509671,189.445260492627,53
5,2021,95.0611313834232,0.233333333333333,5,1,1,5,4,1,0,0,0,0.874564511205519,0,0.102313521499211,0.0231219672952696,0.60177665126563,0.0000642983088868043,0.330425217387688,0.0677338330377946,121.1979509671,189.445260492627,47
6,2017,31.7613066250725,0.185185185185185,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,19
6,2019,58.2726953844075,0.259259259259259,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,19
6,2020,56.4906665538114,0.222222222222222,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,33
6,2021,33.0760115619318,0.259259259259259,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,19
7,2017,114.076169757737,0.269230769230769,0,1,2,8,3,0.0857762817594002,0,0,0.9142237182406,0.216165080488662,0.035123328314097,0.00693860406754927,0.741772987129692,0.0691593738531895,0.0670795904164691,0.0710979367883916,0.79266309894195,206.51435527429,0,56
7,2018,121.107308822903,0.384615384615385,0,1,2,8,3,0.0857762817594002,0,0,0.9142237182406,0.216165080488662,0.035123328314097,0.00693860406754927,0.741772987129692,0.0691593738531895,0.0670795904164691,0.0710979367883916,0.79266309894195,206.51435527429,0,55
7,2019,136.518310427689,0.423076923076923,0,1,2,8,3,0.0857762817594002,0,0,0.9142237182406,0.216165080488662,0.035123328314097,0.00693860406754927,0.741772987129692,0.0691593738531895,0.0670795904164691,0.0710979367883916,0.79266309894195,206.51435527429,0,73
