"site_ID","M_YEAR","SITE_ID","SPECIES","TOTAL_NM","SINDEX","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
1,2019,22,"Holly Blue",0.14964,10.6969032465101,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,19
1,2020,22,"Holly Blue",0.2775,5.43803360704769,0,2,2,5,1,1,0,0,0,1,0,0,0,0.936834406083112,0,0,0.0631655939168878,805.03157909621,387.232518085035,33
2,2020,35,"Holly Blue",0.3332,1.87562716283257,0,2,2,5,2,1,0,0,0,0.776191342705476,0.159709880087119,0,0.0640987772074054,0.542372040710524,0.405376262252791,0,0.0522516970366848,838.672474411045,124.610578790533,52
2,2021,35,"Holly Blue",0.32781,3.01927809060853,0,2,2,5,2,1,0,0,0,0.776191342705476,0.159709880087119,0,0.0640987772074054,0.542372040710524,0.405376262252791,0,0.0522516970366848,838.672474411045,124.610578790533,68
3,2019,38,"Holly Blue",0.19781,1.20676755243405,0,2,2,4,1,0,0.0955934291249857,0.629326651788542,0.275079919086472,0,0.321537451707745,0.391750078102405,0.286712470189851,0,0.498008438130517,0.196316925815752,0.305674636053731,0,22.3401394878352,59
4,2019,47,"Holly Blue",0.21071,9.83563560062948,0,2,2,NA,2,0.968011827270295,0,0.0319881727297048,0,0.926496699045615,0,0.0716054325914967,0.00189786836288839,0.734531948551799,0,0.0635499561121386,0.201918095336063,68.5706613983698,242.916068643581,48
4,2020,47,"Holly Blue",0.33208,0.659117573392742,0,2,2,NA,2,0.968011827270295,0,0.0319881727297048,0,0.926496699045615,0,0.0716054325914967,0.00189786836288839,0.734531948551799,0,0.0635499561121386,0.201918095336063,68.5706613983698,242.916068643581,80
5,2019,49,"Holly Blue",0.17626,3.02087424100535,NA,NA,NA,NA,NA,0.383678850532019,0,0,0.616321149467982,0.468951099357188,0.0030272790445921,0.114490556584107,0.413531065014113,0.28826202329205,0.14066754683644,0.109819258008706,0.461251171862805,109.454006825844,0,23
6,2018,50,"Holly Blue",0.46665,5.65830620489858,13,1,1,7,3,1,0,0,0,1,0,0,0,1,0,0,0,1125.72843530101,593.162302106737,113
6,2019,50,"Holly Blue",0.21579,11.8294197669604,13,1,1,7,3,1,0,0,0,1,0,0,0,1,0,0,0,1125.72843530101,593.162302106737,112
6,2021,50,"Holly Blue",0.33099,1.77396178886307,13,1,1,7,3,1,0,0,0,1,0,0,0,1,0,0,0,1125.72843530101,593.162302106737,98
7,2019,51,"Holly Blue",0.23376,1.74014425795898,0,2,2,5,2,1,0,0,0,0.779472783541747,0.0595242289323132,0.0457123722718836,0.115290615254056,0.330886400969023,0.294790761411652,0.0183532504710816,0.355969587148244,130.270171490151,136.3725401228,61
8,2019,52,"Holly Blue",0.18405,2.37067943672657,0,1,2,8,2,1,0,0,0,1,0,0,0,0.802817969896008,0.0293241804808491,0.0000896409598975779,0.167768208663245,492.558923230262,271.403068945234,31
9,2018,54,"Holly Blue",0.37691,10.1398625034645,0,2,2,6,2,1,0,0,0,0.899294199433878,0,0.100705800566122,0,0.776792468071417,0,0.223207531928583,0,174.107000357328,743.716426348044,56
9,2019,54,"Holly Blue",0.2227,4.26153010238326,0,2,2,6,2,1,0,0,0,0.899294199433878,0,0.100705800566122,0,0.776792468071417,0,0.223207531928583,0,174.107000357328,743.716426348044,73
9,2020,54,"Holly Blue",0.32162,2.74487737260338,0,2,2,6,2,1,0,0,0,0.899294199433878,0,0.100705800566122,0,0.776792468071417,0,0.223207531928583,0,174.107000357328,743.716426348044,59
10,2020,55,"Holly Blue",0.26388,1.56934134743648,3,2,1,4,2,1,0,0,0,0.949124425243072,0.0508755747569284,0,0,0.933094644456171,0.0136815972975712,0.0473713950003917,0.00585236324586651,292.709675108452,439.107888950061,41
11,2019,56,"Holly Blue",0.17426,4.55103991262003,1,2,1,5,3,0.508646659082382,0,0.491353340917618,0,0.563732728119644,0.162298235584138,0.174051913431549,0.0546747703451873,0.343965140067474,0.400791500184778,0.12935821429518,0.027731156067601,9.40245631737256,102.495524199727,19
11,2021,56,"Holly Blue",0.30541,1.83432386822217,1,2,1,5,3,0.508646659082382,0,0.491353340917618,0,0.563732728119644,0.162298235584138,0.174051913431549,0.0546747703451873,0.343965140067474,0.400791500184778,0.12935821429518,0.027731156067601,9.40245631737256,102.495524199727,51
12,2018,57,"Holly Blue",0.46339,1.78103905818655,0,2,2,3,2,0.579578806093741,0.00617984941285673,0,0.414241344493402,0.444676222154655,0.0996737858814322,0.0118538325361765,0.443796159427737,0.501422796035204,0.175940744255217,0.00863257149055151,0.314003888219027,176.075126158696,28.1032787834485,37
12,2019,57,"Holly Blue",0.22902,11.8512666041183,0,2,2,3,2,0.579578806093741,0.00617984941285673,0,0.414241344493402,0.444676222154655,0.0996737858814322,0.0118538325361765,0.443796159427737,0.501422796035204,0.175940744255217,0.00863257149055151,0.314003888219027,176.075126158696,28.1032787834485,58
12,2020,57,"Holly Blue",0.33158,0.751286578265279,0,2,2,3,2,0.579578806093741,0.00617984941285673,0,0.414241344493402,0.444676222154655,0.0996737858814322,0.0118538325361765,0.443796159427737,0.501422796035204,0.175940744255217,0.00863257149055151,0.314003888219027,176.075126158696,28.1032787834485,62
13,2018,58,"Holly Blue",0.45621,4.25240378936426,30,1,1,5,3,0.935784951731325,0,0.0642150482686752,0,0.723888302837961,0,0.276111697162039,0,0.443644584569331,0.0192893247777803,0.412842569475466,0.0431015816822857,65.4025424930354,282.122449710564,65
13,2019,58,"Holly Blue",0.2473,3.82661602778123,30,1,1,5,3,0.935784951731325,0,0.0642150482686752,0,0.723888302837961,0,0.276111697162039,0,0.443644584569331,0.0192893247777803,0.412842569475466,0.0431015816822857,65.4025424930354,282.122449710564,78
13,2020,58,"Holly Blue",0.29043,2.44012542244671,30,1,1,5,3,0.935784951731325,0,0.0642150482686752,0,0.723888302837961,0,0.276111697162039,0,0.443644584569331,0.0192893247777803,0.412842569475466,0.0431015816822857,65.4025424930354,282.122449710564,53
13,2021,58,"Holly Blue",0.32392,0.727563752773837,30,1,1,5,3,0.935784951731325,0,0.0642150482686752,0,0.723888302837961,0,0.276111697162039,0,0.443644584569331,0.0192893247777803,0.412842569475466,0.0431015816822857,65.4025424930354,282.122449710564,61
14,2019,59,"Holly Blue",0.24081,4.12524235798853,0,2,2,2,4,0.249388797097805,0.255250621096037,0.495360581806158,0,0.0703017090062174,0.264868450209074,0.555544062894783,0.102800539065078,0.0853225861261502,0.456832165872652,0.348711513970145,0.0632160774397406,9.69423649106402,132.345553488723,48
15,2017,60,"Holly Blue",0.2133,9.81330193076715,10,1,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,681.288458095418,652.196481348271,40
15,2018,60,"Holly Blue",0.33853,16.7456503173301,10,1,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,681.288458095418,652.196481348271,25
16,2018,61,"Holly Blue",0.46339,3.25971803439003,0,1,2,1,2,1,0,0,0,0.934379729716947,0,0,0.0656202702830534,0.792739674374827,0.000253694951458532,0,0.0856991653210757,907.300871884242,192.879972350074,39
